"---PBT Bankroll Export---"
id,starttime,endtime,breakminutes,playingminutes,variant,game,limit,tablesize,location,type,currency,exchangerate,buyin,cashout,netprofit,grossprofit,rebuys,rebuycosts,addoncosts,bounties,bountycosts,smallblind,bigblind,3rdblind,ante,expenses,expensesfromstack,handsperhour,place,player,itm,mttname,startstack,private,casinoid,staking,stakingpercent,sharesincomings,sharesoutgoings,stakingplayer,sessionnote,tags,notes,chipgraph,updatetimes
8321677,"2025-07-17 19:01:00","2025-07-17 23:02:00",0,241,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1235,485,485,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8263298,"2025-07-09 19:30:00","2025-07-09 23:46:00",0,256,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1565,815,815,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8256898,"2025-07-08 20:10:00","2025-07-09 00:01:00",0,231,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,818,1186,368,368,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8244797,"2025-07-07 20:00:00","2025-07-08 01:07:00",0,307,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,815,65,65,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8216320,"2025-07-03 20:00:00","2025-07-04 00:55:00",0,295,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,990,240,240,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8209256,"2025-07-02 20:40:00","2025-07-03 00:48:00",0,248,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1110,1590,480,480,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8190855,"2025-06-30 20:45:00","2025-07-01 00:50:00",0,245,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,940,535,-405,-405,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8190186,"2025-06-30 18:25:00","2025-06-30 22:30:00",0,245,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,640,170,-470,-470,0,0,,,,1,2,0,0,0,0,25,,,,,,no,,no,0,0,0,,"tried to teach Leila, she kept calling with AKdd, limp-min clicked KK out of fear(!! ). lost KK twice, once to quads other to 42o hahaha.",,[],[],[]
8177341,"2025-06-28 13:25:00","2025-06-29 03:50:00",0,865,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,400,-350,-350,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
8143614,"2025-06-23 19:06:00","2025-06-24 00:17:00",0,311,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,735,1370,635,635,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
